SaleID,Date,employee_id,customer_id,service_id,Quantity,Invoice
S001,2026-01-05,1,1,1,2,INV-101
S002,2026-01-06,1,2,2,1,INV-102
S003,2026-01-07,2,1,3,3,INV-103
S004,2026-01-08,2,3,3,1,INV-104
S005,2026-01-09,3,2,4,1,INV-105
S006,2026-01-10,4,1,4,2,INV-106
S007,2026-01-11,5,3,1,10,INV-107
S008,2026-01-12,2,2,5,5,INV-108
S009,2026-01-13,3,3,5,2,INV-109
S010,2026-01-14,1,2,2,2,INV-110
S011,2026-01-15,6,1,1,1,INV-111
S012,2026-01-16,4,3,2,1,INV-112
S013,2026-01-17,5,2,3,2,INV-113
S014,2026-01-18,2,1,4,1,INV-114
S015,2026-01-19,3,3,1,5,INV-115
S016,2026-01-20,1,2,5,10,INV-116
S017,2026-01-21,6,1,3,1,INV-117
S018,2026-01-22,4,3,4,1,INV-118
S019,2026-01-23,5,2,5,4,INV-119
S020,2026-01-24,2,3,2,1,INV-120
S021,2026-01-25,3,2,3,2,INV-121
S022,2026-01-26,1,1,4,1,INV-122
S023,2026-01-27,6,2,1,2,INV-123
S024,2026-01-28,4,3,5,3,INV-124
S025,2026-01-29,5,1,2,1,INV-125
S026,2026-01-30,2,2,4,1,INV-126
S027,2026-01-31,3,3,3,3,INV-127
S028,2026-02-01,1,2,1,1,INV-128
S029,2026-02-02,6,1,5,10,INV-129
S030,2026-02-03,4,3,3,2,INV-130
S031,2026-02-04,5,2,4,1,INV-131
S032,2026-02-05,2,3,1,4,INV-132
S033,2026-02-06,3,1,2,2,INV-133
S034,2026-02-07,1,2,3,1,INV-134
S035,2026-02-08,6,3,4,1,INV-135
S036,2026-02-09,4,2,1,2,INV-136
S037,2026-02-10,5,1,5,5,INV-137
S038,2026-02-11,2,3,2,1,INV-138
S039,2026-02-12,3,2,3,4,INV-139
S040,2026-02-13,1,1,4,1,INV-140
S041,2026-02-14,6,2,1,2,INV-141
S042,2026-02-15,4,3,5,8,INV-142
S043,2026-02-16,5,1,2,1,INV-143
S044,2026-02-17,2,2,3,1,INV-144
S045,2026-02-18,3,3,4,1,INV-145
S046,2026-02-19,1,2,5,5,INV-146
S047,2026-02-20,6,1,2,1,INV-147
S048,2026-02-21,4,3,3,2,INV-148
S049,2026-02-22,5,2,1,3,INV-149
S050,2026-02-23,2,1,4,1,INV-150
